filters,dropout_rate,learning_rate,batch_size,lookback_window,test_accuracy,test_loss,val_accuracy
"[64, 128, 256]",0.4,0.0005,36,30,0.27802690863609314,1.1175949573516846,0.2805970013141632
"[32, 64, 128, 256]",0.2,0.0005,48,60,0.2957746386528015,1.191440224647522,0.28593748807907104
"[16, 32, 64]",0.5,0.005,36,120,0.3316062092781067,1.1033254861831665,0.3258620798587799
"[32, 64, 128, 256]",0.4,0.0005,36,120,0.33851468563079834,1.1088151931762695,0.2810344696044922
"[32, 64, 128, 256]",0.2,0.0005,36,120,0.3471502661705017,1.1806639432907104,0.3293103575706482
"[64, 128, 256]",0.2,0.0001,48,30,0.3841554522514343,1.2881776094436646,0.27014926075935364
"[16, 32, 64]",0.4,0.0001,48,120,0.3316062092781067,1.1563774347305298,0.29137930274009705
"[32, 64, 128, 256]",0.4,0.005,36,120,0.3195164203643799,1.1024479866027832,0.29482758045196533
"[32, 64, 128]",0.2,0.0005,36,60,0.350547730922699,1.4375399351119995,0.3828125
"[64, 128, 256]",0.2,0.001,36,30,0.32137519121170044,1.22719407081604,0.29104477167129517
"[32, 64, 128, 256]",0.4,0.001,36,60,0.3395931124687195,1.1010748147964478,0.28593748807907104
"[32, 64, 128, 256]",0.5,0.005,24,30,0.3363228738307953,1.0979516506195068,0.3820895552635193
"[64, 128, 256]",0.4,0.005,48,60,0.4225352108478546,1.091119408607483,0.29218751192092896
"[64, 128, 256]",0.3,0.001,24,120,0.2953367829322815,1.1624788045883179,0.3224138021469116
"[32, 64, 128, 256]",0.4,0.0001,24,30,0.31539610028266907,1.169134497642517,0.3597014844417572
"[32, 64, 128, 256]",0.4,0.005,36,60,0.3849765360355377,1.0996074676513672,0.37031251192092896
"[16, 32, 64]",0.3,0.001,24,120,0.31433504819869995,1.1519311666488647,0.3499999940395355
"[16, 32, 64]",0.4,0.0005,24,30,0.3393124043941498,1.0987910032272339,0.36567163467407227
"[32, 64, 128]",0.3,0.005,36,30,0.3198804259300232,1.1134300231933594,0.27313432097435
"[32, 64, 128, 256]",0.4,0.005,36,90,0.3563218414783478,1.0982109308242798,0.29016393423080444
